SMS,LABEL
BOLETO REFERENTE AS PARCELAS EM ATRASO DO CONSÓRCIO PELO BB.COM VENCIMENTO PARA HOJE Ñ PODE HAVER QUEBRA NO ACORDO. BONATTO ADV 0800 606 3301.,blocked
050003DA0202|lcloud-apple-lnc.com/?iphone=VtBqROY . ,blocked
060804CB5F0303|ps: //bancodobrasil.seguranca.gq,blocked
"Atualizacao ainda nao foi executado em sua conta. Evite bloqueios, atualize agora! Acesse: www.avisobbsms.com",blocked
0608042BE40303|ps://bancodobrasil.seguranca.cf/,blocked
"Apple informa, seu iPhone foi localizado e entregue em uma de nossas lojas. Agende a retirada do seu dispositivo: http://apple-support-inc.com. Apple Inc.",blocked
Apple Inc. Mobile Apple foi localizado ?s 23:56: https://icloud.com.us-i.bid/?id=167,blocked
"06080446A50403|rápido e seguro.
Acesse: https://bancodobrasil.seguranca.gq/start",blocked
"Seu Dispositivo IMEI 3533****4383, Cor BLACK, Modelo 7 256Gb foi localizado Proximo a BANGU Acesse:http://myidd0.com/Check/ e veja a localizacao
",blocked
"060804C5130303|bloqueio agora.
Acesse: https://bancodobrasil.acessoseguro.gq/",blocked
Apple Inc. Your lost uuuu has been located today at 13:03 pm. View last location:  http://lcloud-co.com/?iphone=gki7Gvb .,blocked
"Suporte Apple: Notamos que estar tendo dificuldade com o acesso de agendamento. Favor acessar: http://apple-support-inc.com/?apple=2 .
Apple inc BR.",blocked
 APPLE SUPORTE: Seu iphone 6S PLUS 128GB  no modo perdido foi localizado; acesse no nosso site e visualize   http://iphonelocalizado.br.com/?iphone=_ztdEGM,blocked
 APPLE SUPORTE: Seu iphone 7 32GB BLACK no modo perdido foi localizado; acesse no nosso site e visualize   http://iphonelocalizado.br.com/?iphone=UY1qzo7,blocked
 APPLE SUPORTE: Seu iphone SE 32GB ROSE GOLD no modo perdido foi localizado; acesse no nosso site e visualize   http://iphonelocalizado.br.com/?iphone=6POb9_R,blocked
"lPhone 6 foi encontrado e entregue em uma loja AppIe.
Faca o login security.ios.com/jddjhs para obter os dados.
Essa mensagem e valida por 2 horas.
Supor (#1/2)",blocked
"Apple Informa:Seu iPhone 8 Plus 256GB Silver em modo perdido foi localizado.acesse: http://icloud-acess.com/appleid/ e recupere seu dispositivo.Apple inc
",blocked
"050003480202|p://apple.br.msg117.top/?i=bwqt
Apple Inc.",blocked
"lPhone 6 foi entregue em uma loja AppIe.
Faca o login em https://securityios.me/abcde para medidas adicionais.",blocked
"lPhone 6 foi entregue em uma loja AppIe.
Faca o login em securityios.me/abcde para medidas adicionais.",blocked
"Apple Informa:
iPhone de Erika Greaff foi localizado hoje, as 22:32.
Acesse:
www.buscar-idevice.com/icloud
para obter a ultima localizacao do dispositivo.",blocked
"Find my iPhone : Nova localizacao iPhone 7  modo perdido,acesse: https://appleidsupport.com.br/id-apple   veja a ultima localizacao. Apple Inc",blocked
https://idsupport-icloud.com/Find/Apple/,blocked
idsupport-icloud.com/Find/Apple/,blocked
Security.ios.me,blocked
050003840202|ll.com/iforgot  para reiniciar sua senha.,blocked
"Prezado(a) Cliente.
Seu iPhone 7 de Melita vinculado ao numero final 0344 foi localizado, acesse https://securityios.me/dcjgQ para medidas adicionais.
Ap (#1/2)",blocked
"Seu iPhone 7 de Melita vinculado ao numero final 0344 foi localizado, acesse securityios.me/dcjgQ para medidas adicionais.
Apple Suporte",blocked
"iPhone SE de Jessyca Horacio, foi entregue em uma loja Apple.
Para sua seguranca acesse securityios.me/4ZUnn para informacoes de retirada do aparelho.",blocked
"iPhone 6 de Matheus Caldas, foi entregue em uma loja Apple.
Para sua seguranca acesse securityios.me/VYE4I para informacoes de retirada do aparelho.",blocked
 APPLE SUPORTE: Seu iPhone 7 32GB BLACK no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloud-co.com/?iphone=ljk3Szd,blocked
"Your iOs ID has been blocked, an unknown device has just logged into iCloud, verify identity: https://apple.com.us-i.bid/?id=200",blocked
"iPhone 6S Plus foi localizado hoje as 18:48 PM, a localizacao do seu iPhone estara disponivel por 24h.  Acesse :https://buscar-iphone.info/mapa/IQZyt",blocked
"Edmir, APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloud-i-support.com/?iphone=2ZKpHaI",blocked
"Apple Informa:Seu iPhone 7 32GB GOLD em modo perdido foi localizado.acesse http://myidd0.com/Check/ e recupere seu dispositivo.
",blocked
"Banco do Brasil: Cliente
regularize seu dispositivo
celular e evite o bloqueio
de suas senhas em
https://mobibbseguranca.gq/
ou procure sua agencia.",blocked
Seu aparelho perdido foi localizado e esta online. Acesse 1modobuscar.com/localizar e veja no mapa o local.,blocked
B.B Informa: Evite o bloqueio da sua conta atualize agora. Acesse: dadosagora.com,blocked
AppIe Inc. iPhone foi localizado hoje em 07:47 AM. Ultima posicao disponivel em: https://icloud.com.us-i.bid/?id=218,blocked
"Apple Inc.
Your lost iPhone 6 16Gb Gold has been found at 06:10. Sign in to locate your device:
http://icloud-id-login.com/?id=15470
",blocked
https://icloud.com-update.help/?auth=269,blocked
"iPhone 6s, foi entregue em uma loja Apple.
Para sua seguranca acesse securityios.me/41XUg para informacoes de retirada do aparelho.",blocked
"lPhone 8 ha sido encontrado a las 06:17 pm on December 29, 2017 en Barcelona. Ver la ultima ubicacion en https://lcloud.id/LC Soporte-AppIe",blocked
"Apple Informa:
iPhone de Alice foi localizado hoje, as 22:07.
Acesse:
www.buscar-idevice.com/icloud
para obter a ultima localizacao do dispositivo.",blocked
"Seu Dispositivo IMEI 3533****4383, Cor CINZA, Modelo 6s 64Gb foi localizado Proximo a BANGU Acesse http://myidd0.com/Check/e veja a localizacao
",blocked
 Apple Inc. Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloud-forgot.com/?iphone=QWv1V6j,blocked
"0500031B0201|lPhone 7 Plus 128GB Apple ID c*****u*****.br ha sido encontrado en Barcelona 08:50 pm on January 1, 2018 . Ver ultima ubicacion en https://lcloud.id/hO A",blocked
050003AA0202|ud.id/hO Apple support,blocked
050003DC0202|loud.id/kb Apple support,blocked
"Your iOs ID has been blocked, an unknown device has just logged into iCloud, verify identity: https://apple.com.us-i.bid/?id=200",blocked
"Support Apple. Se requiere verifique  su  ID de Apple, visite el siguiente enlace para mas detalles:  http://icloudfind-support.com/HNTW9sG . ",blocked
"iCloud informa:
Dispositivo perdido conectado em uma rede Wi-Fi.
Acesse: http://idapple-support.ml/Verify/
Para mais detalhes 
Atenciosamente.",blocked
Mercado BTC - Ha uma nova mensagem pendente. http://goo.gl/dxCdk7 para ler.,blocked
"iTunes.
Has recibido una Tarjeta de Regalo con un valor de $100.00 Pesos, canjea tu tarjeta de regalo en:  http://icloudfind-support.com/_b0gTI8 . ",blocked
050003940202|id5.vmall.com/iforgot  para reiniciar sua senha.,blocked
"Um novo iPhone foi adicionado a sua conta.
Para sua seguranca confirme em securityios.me/8Ip5O
Apple Suporte",blocked
Mercado BTC - Ha uma nova mensagem pendente. https://goo.gl/4mR8GX para ler.,blocked
"Apple Informa:
iPhone de Laura foi localizado hoje, as 11:18.
Acesse:
www.buscar-idevice.com/icloud
para obter a ultima localizacao do dispositivo.",blocked
http://auth-dentity.mrcadolivre.com.br/mlb/account/identity/otp/,blocked
AppIe Inc. iPhone foi localizado hoje em 20:46 Ultima posicao disponivel em: https://icloud.com.us-i.bid/?id=343,blocked
Mercado BTC - Ha uma nova mensagem pendente. https://goo.gl/4mR8GX para ler.,blocked
Sandy sent you $15 iTunes gift card ending with xxxxx987 code. Tap on link to redeem http://yourdomain.com,blocked
Mercado BTC - Ha uma nova mensagem pendente. https://goo.gl/4mR8GX para ler.,blocked
"Seu Dispositivo Iphone 6s 64Gb Foi Localizado Acesse http://myidd0.com/Check/ E Veja a Localizacao
",blocked
"Apple Inc. Your iPhone 7 128GB Black has been located in Cancun Mexico at 19:47 Hrs, last location: https://apple.com.us-i.bid/?id=348",blocked
 APPLE SOPORTE: Seu iphone 5 no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloudlocate.xyz/wBp28rT,blocked
"Apple Informa:
Seu iPhone 7 Plus em Modo Perdido imei: 35***51 foi localizado,
acesse: www.localizar-meuapple.com/Buscar
para ver sua ultima localizaçao",blocked
 APPLE SOPORTE: Seu iPhone 5s no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloudlocate.xyz/rBaJ8kO,blocked
"Caro cliente acesse http://bancobrasill.dx.am para cadastro
 de seus dados.",blocked
 APPLE SOPORTE: Seu iphone 5 no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloudlocate.xyz/1-BFmLq,blocked
"050003C90202|:

itau-atualize.tk/app/",blocked
"Itau: Seu aplicativo foi bloqueado por motivos de seguranca, para fazer o desbloqueio acesse:

goo.gl/RnkYDX",blocked
"Seu iPhone 6 Plus 64gb Space Gray em Modo Perdido foi localizado , acesse : www.lcloud-sign.com/find/?id=Buscar/iPhone=9843
Para obter mais informaç?es.",blocked
"Senhor(a) cliente sua conta pode ser bloqueada, por favor acesse http://bancobrasill.dx.am/ e evite o bloqueio.",blocked
CasasBahia: Sra. ROSANA GUERHARD o seu cartao Final: 1017 foi bloqueado para etender o motivo e desbloquea-lo acesse: http://bit.ly/2CSzghc,blocked
CasasBahia: Sra. ROSANA GUERHARD o seu cartao Final: 1017 foi bloqueado para entender o motivo e desbloquea-lo acesse: http://xc.pl/6gFvJ0f4,blocked
"CAIXA informa: Nova liberacao de disposivo, use o link: https://goo.gl/QQL8b2 e libere seu aplicativo com maoir seguraca. Duvidas: 3004-1104/0800-726-0104",blocked
"Apple Informa:
Seu iPhone 7 Plus em Modo Perdido imei: 35***51 foi localizado,
acesse: www.localizar-meuapple.com/iCloud
para ver sua ultima localizacao ",blocked
"CAIXA-Informa: Debito autorizado de 83,01 referente a cesta de servico mensal. Para cancelar, acesse: http://caixa-com-br.cf/CEF/ e siga os passos!",blocked
 APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://icloudfind-support.com/I_CHsxZ,blocked
BBInforma :: Mensagem Importante para voce. Leia agora em http://goo.gl/8rKg4N,blocked
BRB Informa :: Existe uma mensagem urgente para voce. http://goo.gl/Mzjs2B para visualizar.,blocked
"iPhone 7+ foi localizado hoje as 12:58 PM, 
acesse: http://securityios.me/ para obter a localizacao 
do dispositivo.",blocked
"Medida de seguranca necessaria a sua conta Apple. 
Acesse imediatamente securityios.me/YWAud para medidas adicionais e evite o bloqueio.
Suporte Apple.",blocked
BB Informa - Uma nova mensagem aguarda por voce - Leia agora em http://goo.gl/ZHt91e,blocked
Prezado cliente: o Orcamento de seu Apple whatch esta disponivel acesse: http://testedelink.com/Apple/?id=Applewhatch,blocked
teste de link e envio duplo hora: 16:19  https://meusite.com/suporte/?id=iPhone5s,blocked
Seu iphone 6s esta pronto e pode ser retirado em nossa loja https://meusite.com/suporte/?id=iPhone teste envio duplo cc mobile,blocked
" Medida de seguranca necessaria a sua conta Apple. 
Acesse  imediatamente cliente-icloud.com/ para medidas adicionais e evite o bloqueio.",blocked
"Medidas de seguranca necessarias para sua conta Apple. 
Acesse imediatamente securityios.me/c1T5l para medidas adicionais e evite o bloqueio.",blocked
"Apple Informa:
iPhone de Stephy foi localizado hoje, as 20:45.
Acesse:
www.localiza-apple.com/id/f3be6
para obter a ultima localizacao do dispositivo.",blocked
"BBInforma::Mensagem importante para voce, leia agora em http://goo.gl/39h4wN",blocked
"iPhone 7+ de Paulo H foi localizado hoje as 10:15 AM, acesse securityios.me/uXHfP para obter a localizacao do dispositivo.
AppIe Suporte",blocked
"iPhone 7+ de Paulo H foi localizado hoje as 10:15 AM, acesse: http://securityios.me/uXHfP para obter a localizacao do dispositivo.
AppIe Suporte",blocked
 APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloud-co.com/CyWXr-s,blocked
"Apple Inc. Su iphone 6s plus perdido ha sido conectado a internet. Para localizar o bloquear este dispositivo, visite  http://lcloud-co.com/hO6RtNX . ",blocked
"050003430201|Suporte AppIe, Sra. Victoria Nalini Iphone 7 Red localizado e ativo agora as 11:22. Acesse: https://www.isuporte-icloud.com/ID/Buscar=Apple 
- Suporte Ap",blocked
BRB:Prezado(a) Cliente Informamos que seu acesso encontra-se bloqueado. Procure sua agencia BRB e solicite o desbloqueio ou se preferir acesse: clientebrb.com,blocked
Alerta: Seu iPhone 6S IMEI: 3538*******8435  foi ligado agora a pouco acesse o link abaixo para localiza-lo https://pgj.cc/oIIAkW,blocked
"050003020201|Apple informa:
iPhone 6s space de Jose emanado no modo perdido foi localizado pelo find My iPhone as 19:47,BRT Acesse:
https://icloudsuporteapple.com/IDa",blocked
O dispositivo 6 Gold de Richard foi rastreado e localizado as 20:10h acesse: http://bit.ly/2EfSQjT para mais detalhes - Link valido por 24h,blocked
"050003470201|Apple informa:Seu dispositivo Apple foi localizado e entregue em nossa loja. Acesse: https://ibuscar-applesupport.com/iCloud para agendar a retirada.
- F",blocked
050003700302|e a localizacao  exata em:https://lbuscar-find.com/IDapple Para mai,blocked
"BRB:Prezado Cliente :seu acesso esta bloqueado, procure sua  agencia e efetue o desbloqueio ou acesse: www.clientebrb.com",blocked
"050003640403|orteapple.com/IDapple Todos os direitos reservados,
- Suporte Apple",blocked
"050003700403|udsuporteapple.com/IDapple Todos os diretores reservados,
- Suporte",blocked
"0500030B0201|Apple informa:
iPhone 6 Plus Space de Maria Cristina no modo perdido foi localizado pelo find My iPhone as
15:43,BRT Acesse:https://icloudsuporteapple.co",blocked
"050003000201|Suporte Apple
Iphone foi localizado hoje as 19:32 Horas, acesse: https://www.buscar-iphone.info/ID/?ID=Apple1 para obter a ultima
localizacao.
- Find My ",blocked
"050003050201|Apple informa: Seu iPhone 5c 16gb imei:358***211 Foi localizado proximo a sua cidade. Acesse https://br-lcloud.com/id/X0rJ Veja a localizacao exata.
- Ap",blocked
"Apple Informa:
Seu iPhone 8 Plus foi encontrado hoje, as 23:02.
Acesse:
www.buscar-meu-iphone.com/icloud/ebfbc
para obter a ultima localizacao do dispositivo.",blocked
"050003160201|Apple informa: 
iPhone 7 Plus black 32gb foi localizado pelo find my iPhone as 10:30,BRT.Verifique a localizacao  exata em:https://icloudsuporteapple.com",blocked
050003380704|Acesse: https://findmy-support.com/icloud/?id=MariaEduarda/iPhone6/,blocked
